start_date,trough_date,recovery_date,max_drawdown,duration_days
2026-01-29,2026-01-30,2026-02-02,-0.008068916572007812,4
2026-02-04,2026-02-05,2026-02-06,-0.006102841152340055,2
2026-02-09,2026-02-10,2026-02-11,-0.0007243336256069766,2
2026-02-11,2026-02-12,2026-02-18,-0.017394136252338432,7
2026-02-18,2026-02-19,2026-02-20,-0.0037671047213678754,2
2026-02-20,2026-02-23,2026-02-25,-0.013333688212655237,5
2026-02-26,2026-03-30,2026-04-16,-0.07089097820418133,49
2026-04-20,2026-04-22,2026-04-23,-0.0032129338064238455,3
2026-04-23,2026-04-28,2026-04-30,-0.009382107472661216,7
2026-04-30,2026-05-04,2026-05-05,-0.007597671862217825,5
2026-05-06,2026-05-07,2026-05-14,-0.012442172053916067,8
2026-05-14,2026-05-19,2026-05-21,-0.012756170270132539,7
2026-05-26,2026-05-27,2026-05-28,-0.0025972727206008406,2
2026-05-28,2026-06-10,,-0.028145209546599825,14
