candidate_id,fold,development_start,development_end,test_start,test_end,status,net_total_return,spy_total_return,active_total_return,sharpe_ratio,max_drawdown,average_turnover,cost_drag,error
v1_drawdown_fixed,2024,2021-01-01,2023-12-31,2024-01-01,2024-12-31,valid,0.33057703749045886,0.24886472798432036,0.0817123095061385,2.1627726826733227,-0.09721092819094623,0.03521301843307785,0.0003992484263752871,
v1_drawdown_fixed,2025,2022-01-01,2024-12-31,2025-01-01,2025-12-31,valid,0.236103116523513,0.17719048869766496,0.05891262782584805,1.3640421835942511,-0.1865540805178615,0.03996367409318179,0.0004475514825541538,
v2_core,2019,2016-01-01,2018-12-31,2019-01-01,2019-12-31,valid,0.26337966730436,0.3122390374631525,-0.04885937015879249,1.8378319736447843,-0.0844004090937811,0.10726620691257933,0.0016767221290403533,
v2_core,2020,2017-01-01,2019-12-31,2020-01-01,2020-12-31,valid,0.2295919815484988,0.18331622104156264,0.04627576050693616,0.7805191964297439,-0.3324042903545349,0.07037728530336332,0.0011883296265520205,
v2_core,2021,2018-01-01,2020-12-31,2021-01-01,2021-12-31,valid,0.39907058562151265,0.2872877099752804,0.11178287564623224,2.2647027083072775,-0.05409332860736382,0.07722554064410687,0.0012473605824034895,
v2_core,2022,2019-01-01,2021-12-31,2022-01-01,2022-12-31,invalid,,,,,,,,Portfolio optimizer failed on 2019-01-31: Optimizer produced 24 holdings; minimum acceptable is 25.
v2_core,2023,2020-01-01,2022-12-31,2023-01-01,2023-12-31,valid,0.2611501757756203,0.26175803310593393,-0.0006078573303136547,1.8511262795806496,-0.0863242025803781,0.054162799743295464,0.0007520035190473617,
v2_core,2024,2021-01-01,2023-12-31,2024-01-01,2024-12-31,valid,0.23612746611908153,0.24886472798432036,-0.012737261865238825,1.61946818028143,-0.09368696052371928,0.10739742015088234,0.0015256040861966191,
v2_core,2025,2022-01-01,2024-12-31,2025-01-01,2025-12-31,valid,0.2187586705490252,0.17719048869766496,0.04156818185136024,1.2790102526434026,-0.165378828686346,0.1040671611726452,0.0013990666607013313,
v2_core_defensive,2019,2016-01-01,2018-12-31,2019-01-01,2019-12-31,invalid,,,,,,,,Realized turnover 21.33% on 2024-03-01 exceeds 20.00%.
v2_core_defensive,2020,2017-01-01,2019-12-31,2020-01-01,2020-12-31,invalid,,,,,,,,Realized turnover 21.33% on 2024-03-01 exceeds 20.00%.
v2_core_defensive,2021,2018-01-01,2020-12-31,2021-01-01,2021-12-31,invalid,,,,,,,,Realized turnover 21.33% on 2024-03-01 exceeds 20.00%.
v2_core_defensive,2022,2019-01-01,2021-12-31,2022-01-01,2022-12-31,invalid,,,,,,,,Realized turnover 21.33% on 2024-03-01 exceeds 20.00%.
v2_core_defensive,2023,2020-01-01,2022-12-31,2023-01-01,2023-12-31,invalid,,,,,,,,Realized turnover 21.33% on 2024-03-01 exceeds 20.00%.
v2_core_defensive,2024,2021-01-01,2023-12-31,2024-01-01,2024-12-31,invalid,,,,,,,,Realized turnover 21.33% on 2024-03-01 exceeds 20.00%.
v2_core_defensive,2025,2022-01-01,2024-12-31,2025-01-01,2025-12-31,invalid,,,,,,,,Realized turnover 21.33% on 2024-03-01 exceeds 20.00%.
