fold,role,date
9,train,2018-11-30
9,train,2018-12-31
9,train,2019-01-31
9,train,2019-02-28
9,train,2019-03-29
9,train,2019-04-30
9,train,2019-05-31
9,train,2019-06-28
9,train,2019-07-31
9,train,2019-08-30
9,train,2019-09-30
9,train,2019-10-31
9,train,2019-11-29
9,train,2019-12-31
9,test,2020-01-31
9,test,2020-02-28
9,test,2020-03-31
10,train,2016-01-29
10,train,2016-02-29
10,train,2016-03-31
10,train,2016-04-29
10,train,2016-05-31
10,train,2016-06-30
10,train,2016-07-29
10,train,2016-08-31
10,train,2016-09-30
10,train,2016-10-31
10,train,2016-11-30
10,train,2016-12-30
10,train,2017-01-31
10,train,2017-02-28
10,train,2017-03-31
10,train,2017-04-28
10,train,2017-05-31
10,train,2017-06-30
10,train,2017-07-31
10,train,2017-08-31
10,train,2017-09-29
10,train,2017-10-31
10,train,2017-11-30
10,train,2017-12-29
10,train,2018-01-31
10,train,2018-02-28
10,train,2018-03-29
10,train,2018-04-30
10,train,2018-05-31
10,train,2018-06-29
10,train,2018-07-31
10,train,2018-08-31
10,train,2018-09-28
10,train,2018-10-31
10,train,2018-11-30
10,train,2018-12-31
10,train,2019-01-31
10,train,2019-02-28
10,train,2019-03-29
10,train,2019-04-30
10,train,2019-05-31
10,train,2019-06-28
10,train,2019-07-31
10,train,2019-08-30
10,train,2019-09-30
10,train,2019-10-31
10,train,2019-11-29
10,train,2019-12-31
10,train,2020-01-31
10,train,2020-02-28
10,train,2020-03-31
10,test,2020-04-30
10,test,2020-05-29
10,test,2020-06-30
11,train,2016-01-29
11,train,2016-02-29
11,train,2016-03-31
11,train,2016-04-29
11,train,2016-05-31
11,train,2016-06-30
11,train,2016-07-29
11,train,2016-08-31
11,train,2016-09-30
11,train,2016-10-31
11,train,2016-11-30
11,train,2016-12-30
11,train,2017-01-31
11,train,2017-02-28
11,train,2017-03-31
11,train,2017-04-28
11,train,2017-05-31
11,train,2017-06-30
11,train,2017-07-31
11,train,2017-08-31
11,train,2017-09-29
11,train,2017-10-31
11,train,2017-11-30
11,train,2017-12-29
11,train,2018-01-31
11,train,2018-02-28
11,train,2018-03-29
11,train,2018-04-30
11,train,2018-05-31
11,train,2018-06-29
11,train,2018-07-31
11,train,2018-08-31
11,train,2018-09-28
11,train,2018-10-31
11,train,2018-11-30
11,train,2018-12-31
11,train,2019-01-31
11,train,2019-02-28
11,train,2019-03-29
11,train,2019-04-30
11,train,2019-05-31
11,train,2019-06-28
11,train,2019-07-31
11,train,2019-08-30
11,train,2019-09-30
11,train,2019-10-31
11,train,2019-11-29
11,train,2019-12-31
11,train,2020-01-31
11,train,2020-02-28
11,train,2020-03-31
11,train,2020-04-30
11,train,2020-05-29
11,train,2020-06-30
11,test,2020-07-31
11,test,2020-08-31
11,test,2020-09-30
12,train,2016-01-29
12,train,2016-02-29
12,train,2016-03-31
12,train,2016-04-29
12,train,2016-05-31
12,train,2016-06-30
12,train,2016-07-29
12,train,2016-08-31
12,train,2016-09-30
12,train,2016-10-31
12,train,2016-11-30
12,train,2016-12-30
12,train,2017-01-31
12,train,2017-02-28
12,train,2017-03-31
12,train,2017-04-28
12,train,2017-05-31
12,train,2017-06-30
12,train,2017-07-31
12,train,2017-08-31
12,train,2017-09-29
12,train,2017-10-31
12,train,2017-11-30
12,train,2017-12-29
12,train,2018-01-31
12,train,2018-02-28
12,train,2018-03-29
12,train,2018-04-30
12,train,2018-05-31
12,train,2018-06-29
12,train,2018-07-31
12,train,2018-08-31
12,train,2018-09-28
12,train,2018-10-31
12,train,2018-11-30
12,train,2018-12-31
12,train,2019-01-31
12,train,2019-02-28
12,train,2019-03-29
12,train,2019-04-30
12,train,2019-05-31
12,train,2019-06-28
12,train,2019-07-31
12,train,2019-08-30
12,train,2019-09-30
12,train,2019-10-31
12,train,2019-11-29
12,train,2019-12-31
12,train,2020-01-31
12,train,2020-02-28
12,train,2020-03-31
12,train,2020-04-30
12,train,2020-05-29
12,train,2020-06-30
12,train,2020-07-31
12,train,2020-08-31
12,train,2020-09-30
12,test,2020-10-30
12,test,2020-11-30
12,test,2020-12-31
13,train,2016-01-29
13,train,2016-02-29
13,train,2016-03-31
13,train,2016-04-29
13,train,2016-05-31
13,train,2016-06-30
13,train,2016-07-29
13,train,2016-08-31
13,train,2016-09-30
13,train,2016-10-31
13,train,2016-11-30
13,train,2016-12-30
13,train,2017-01-31
13,train,2017-02-28
13,train,2017-03-31
13,train,2017-04-28
13,train,2017-05-31
13,train,2017-06-30
13,train,2017-07-31
13,train,2017-08-31
13,train,2017-09-29
13,train,2017-10-31
13,train,2017-11-30
13,train,2017-12-29
13,train,2018-01-31
13,train,2018-02-28
13,train,2018-03-29
13,train,2018-04-30
13,train,2018-05-31
13,train,2018-06-29
13,train,2018-07-31
13,train,2018-08-31
13,train,2018-09-28
13,train,2018-10-31
13,train,2018-11-30
13,train,2018-12-31
13,train,2019-01-31
13,train,2019-02-28
13,train,2019-03-29
13,train,2019-04-30
13,train,2019-05-31
13,train,2019-06-28
13,train,2019-07-31
13,train,2019-08-30
13,train,2019-09-30
13,train,2019-10-31
13,train,2019-11-29
13,train,2019-12-31
13,train,2020-01-31
13,train,2020-02-28
13,train,2020-03-31
13,train,2020-04-30
13,train,2020-05-29
13,train,2020-06-30
13,train,2020-07-31
13,train,2020-08-31
13,train,2020-09-30
13,train,2020-10-30
13,train,2020-11-30
13,train,2020-12-31
13,test,2021-01-29
13,test,2021-02-26
13,test,2021-03-31
14,train,2016-01-29
14,train,2016-02-29
14,train,2016-03-31
14,train,2016-04-29
14,train,2016-05-31
14,train,2016-06-30
14,train,2016-07-29
14,train,2016-08-31
14,train,2016-09-30
14,train,2016-10-31
14,train,2016-11-30
14,train,2016-12-30
14,train,2017-01-31
14,train,2017-02-28
14,train,2017-03-31
14,train,2017-04-28
14,train,2017-05-31
14,train,2017-06-30
14,train,2017-07-31
14,train,2017-08-31
14,train,2017-09-29
14,train,2017-10-31
14,train,2017-11-30
14,train,2017-12-29
14,train,2018-01-31
14,train,2018-02-28
14,train,2018-03-29
14,train,2018-04-30
14,train,2018-05-31
14,train,2018-06-29
14,train,2018-07-31
14,train,2018-08-31
14,train,2018-09-28
14,train,2018-10-31
14,train,2018-11-30
14,train,2018-12-31
14,train,2019-01-31
14,train,2019-02-28
14,train,2019-03-29
14,train,2019-04-30
14,train,2019-05-31
14,train,2019-06-28
14,train,2019-07-31
14,train,2019-08-30
14,train,2019-09-30
14,train,2019-10-31
14,train,2019-11-29
14,train,2019-12-31
14,train,2020-01-31
14,train,2020-02-28
14,train,2020-03-31
14,train,2020-04-30
14,train,2020-05-29
14,train,2020-06-30
14,train,2020-07-31
14,train,2020-08-31
14,train,2020-09-30
14,train,2020-10-30
14,train,2020-11-30
14,train,2020-12-31
14,train,2021-01-29
14,train,2021-02-26
14,train,2021-03-31
14,test,2021-04-30
14,test,2021-05-28
14,test,2021-06-30
15,train,2016-01-29
15,train,2016-02-29
15,train,2016-03-31
15,train,2016-04-29
15,train,2016-05-31
15,train,2016-06-30
15,train,2016-07-29
15,train,2016-08-31
15,train,2016-09-30
15,train,2016-10-31
15,train,2016-11-30
15,train,2016-12-30
15,train,2017-01-31
15,train,2017-02-28
15,train,2017-03-31
15,train,2017-04-28
15,train,2017-05-31
15,train,2017-06-30
15,train,2017-07-31
15,train,2017-08-31
15,train,2017-09-29
15,train,2017-10-31
15,train,2017-11-30
15,train,2017-12-29
15,train,2018-01-31
15,train,2018-02-28
15,train,2018-03-29
15,train,2018-04-30
15,train,2018-05-31
15,train,2018-06-29
15,train,2018-07-31
15,train,2018-08-31
15,train,2018-09-28
15,train,2018-10-31
15,train,2018-11-30
15,train,2018-12-31
15,train,2019-01-31
15,train,2019-02-28
15,train,2019-03-29
15,train,2019-04-30
15,train,2019-05-31
15,train,2019-06-28
15,train,2019-07-31
15,train,2019-08-30
15,train,2019-09-30
15,train,2019-10-31
15,train,2019-11-29
15,train,2019-12-31
15,train,2020-01-31
15,train,2020-02-28
15,train,2020-03-31
15,train,2020-04-30
15,train,2020-05-29
15,train,2020-06-30
15,train,2020-07-31
15,train,2020-08-31
15,train,2020-09-30
15,train,2020-10-30
15,train,2020-11-30
15,train,2020-12-31
15,train,2021-01-29
15,train,2021-02-26
15,train,2021-03-31
15,train,2021-04-30
15,train,2021-05-28
15,train,2021-06-30
15,test,2021-07-30
15,test,2021-08-31
15,test,2021-09-30
16,train,2016-01-29
16,train,2016-02-29
16,train,2016-03-31
16,train,2016-04-29
16,train,2016-05-31
16,train,2016-06-30
16,train,2016-07-29
16,train,2016-08-31
16,train,2016-09-30
16,train,2016-10-31
16,train,2016-11-30
16,train,2016-12-30
16,train,2017-01-31
16,train,2017-02-28
16,train,2017-03-31
16,train,2017-04-28
16,train,2017-05-31
16,train,2017-06-30
16,train,2017-07-31
16,train,2017-08-31
16,train,2017-09-29
16,train,2017-10-31
16,train,2017-11-30
16,train,2017-12-29
16,train,2018-01-31
16,train,2018-02-28
16,train,2018-03-29
16,train,2018-04-30
16,train,2018-05-31
16,train,2018-06-29
16,train,2018-07-31
16,train,2018-08-31
16,train,2018-09-28
16,train,2018-10-31
16,train,2018-11-30
16,train,2018-12-31
16,train,2019-01-31
16,train,2019-02-28
16,train,2019-03-29
16,train,2019-04-30
16,train,2019-05-31
16,train,2019-06-28
16,train,2019-07-31
16,train,2019-08-30
16,train,2019-09-30
16,train,2019-10-31
16,train,2019-11-29
16,train,2019-12-31
16,train,2020-01-31
16,train,2020-02-28
16,train,2020-03-31
16,train,2020-04-30
16,train,2020-05-29
16,train,2020-06-30
16,train,2020-07-31
16,train,2020-08-31
16,train,2020-09-30
16,train,2020-10-30
16,train,2020-11-30
16,train,2020-12-31
16,train,2021-01-29
16,train,2021-02-26
16,train,2021-03-31
16,train,2021-04-30
16,train,2021-05-28
16,train,2021-06-30
16,train,2021-07-30
16,train,2021-08-31
16,train,2021-09-30
16,test,2021-10-29
16,test,2021-11-30
16,test,2021-12-31
17,train,2016-01-29
17,train,2016-02-29
17,train,2016-03-31
17,train,2016-04-29
17,train,2016-05-31
17,train,2016-06-30
17,train,2016-07-29
17,train,2016-08-31
17,train,2016-09-30
17,train,2016-10-31
17,train,2016-11-30
17,train,2016-12-30
17,train,2017-01-31
17,train,2017-02-28
17,train,2017-03-31
17,train,2017-04-28
17,train,2017-05-31
17,train,2017-06-30
17,train,2017-07-31
17,train,2017-08-31
17,train,2017-09-29
17,train,2017-10-31
17,train,2017-11-30
17,train,2017-12-29
17,train,2018-01-31
17,train,2018-02-28
17,train,2018-03-29
17,train,2018-04-30
17,train,2018-05-31
17,train,2018-06-29
17,train,2018-07-31
17,train,2018-08-31
17,train,2018-09-28
17,train,2018-10-31
17,train,2018-11-30
17,train,2018-12-31
17,train,2019-01-31
17,train,2019-02-28
17,train,2019-03-29
17,train,2019-04-30
17,train,2019-05-31
17,train,2019-06-28
17,train,2019-07-31
17,train,2019-08-30
17,train,2019-09-30
17,train,2019-10-31
17,train,2019-11-29
17,train,2019-12-31
17,train,2020-01-31
17,train,2020-02-28
17,train,2020-03-31
17,train,2020-04-30
17,train,2020-05-29
17,train,2020-06-30
17,train,2020-07-31
17,train,2020-08-31
17,train,2020-09-30
17,train,2020-10-30
17,train,2020-11-30
17,train,2020-12-31
17,train,2021-01-29
17,train,2021-02-26
17,train,2021-03-31
17,train,2021-04-30
17,train,2021-05-28
17,train,2021-06-30
17,train,2021-07-30
17,train,2021-08-31
17,train,2021-09-30
17,train,2021-10-29
17,train,2021-11-30
17,train,2021-12-31
17,test,2022-01-31
17,test,2022-02-28
17,test,2022-03-31
18,train,2016-01-29
18,train,2016-02-29
18,train,2016-03-31
18,train,2016-04-29
18,train,2016-05-31
18,train,2016-06-30
18,train,2016-07-29
18,train,2016-08-31
18,train,2016-09-30
18,train,2016-10-31
18,train,2016-11-30
18,train,2016-12-30
18,train,2017-01-31
18,train,2017-02-28
18,train,2017-03-31
18,train,2017-04-28
18,train,2017-05-31
18,train,2017-06-30
18,train,2017-07-31
18,train,2017-08-31
18,train,2017-09-29
18,train,2017-10-31
18,train,2017-11-30
18,train,2017-12-29
18,train,2018-01-31
18,train,2018-02-28
18,train,2018-03-29
18,train,2018-04-30
18,train,2018-05-31
18,train,2018-06-29
18,train,2018-07-31
18,train,2018-08-31
18,train,2018-09-28
18,train,2018-10-31
18,train,2018-11-30
18,train,2018-12-31
18,train,2019-01-31
18,train,2019-02-28
18,train,2019-03-29
18,train,2019-04-30
18,train,2019-05-31
18,train,2019-06-28
18,train,2019-07-31
18,train,2019-08-30
18,train,2019-09-30
18,train,2019-10-31
18,train,2019-11-29
18,train,2019-12-31
18,train,2020-01-31
18,train,2020-02-28
18,train,2020-03-31
18,train,2020-04-30
18,train,2020-05-29
18,train,2020-06-30
18,train,2020-07-31
18,train,2020-08-31
18,train,2020-09-30
18,train,2020-10-30
18,train,2020-11-30
18,train,2020-12-31
18,train,2021-01-29
18,train,2021-02-26
18,train,2021-03-31
18,train,2021-04-30
18,train,2021-05-28
18,train,2021-06-30
18,train,2021-07-30
18,train,2021-08-31
18,train,2021-09-30
18,train,2021-10-29
18,train,2021-11-30
18,train,2021-12-31
18,train,2022-01-31
18,train,2022-02-28
18,train,2022-03-31
18,test,2022-04-29
18,test,2022-05-31
18,test,2022-06-30
19,train,2016-01-29
19,train,2016-02-29
19,train,2016-03-31
19,train,2016-04-29
19,train,2016-05-31
19,train,2016-06-30
19,train,2016-07-29
19,train,2016-08-31
19,train,2016-09-30
19,train,2016-10-31
19,train,2016-11-30
19,train,2016-12-30
19,train,2017-01-31
19,train,2017-02-28
19,train,2017-03-31
19,train,2017-04-28
19,train,2017-05-31
19,train,2017-06-30
19,train,2017-07-31
19,train,2017-08-31
19,train,2017-09-29
19,train,2017-10-31
19,train,2017-11-30
19,train,2017-12-29
19,train,2018-01-31
19,train,2018-02-28
19,train,2018-03-29
19,train,2018-04-30
19,train,2018-05-31
19,train,2018-06-29
19,train,2018-07-31
19,train,2018-08-31
19,train,2018-09-28
19,train,2018-10-31
19,train,2018-11-30
19,train,2018-12-31
19,train,2019-01-31
19,train,2019-02-28
19,train,2019-03-29
19,train,2019-04-30
19,train,2019-05-31
19,train,2019-06-28
19,train,2019-07-31
19,train,2019-08-30
19,train,2019-09-30
19,train,2019-10-31
19,train,2019-11-29
19,train,2019-12-31
19,train,2020-01-31
19,train,2020-02-28
19,train,2020-03-31
19,train,2020-04-30
19,train,2020-05-29
19,train,2020-06-30
19,train,2020-07-31
19,train,2020-08-31
19,train,2020-09-30
19,train,2020-10-30
19,train,2020-11-30
19,train,2020-12-31
19,train,2021-01-29
19,train,2021-02-26
19,train,2021-03-31
19,train,2021-04-30
19,train,2021-05-28
19,train,2021-06-30
19,train,2021-07-30
19,train,2021-08-31
19,train,2021-09-30
19,train,2021-10-29
19,train,2021-11-30
19,train,2021-12-31
19,train,2022-01-31
19,train,2022-02-28
19,train,2022-03-31
19,train,2022-04-29
19,train,2022-05-31
19,train,2022-06-30
19,test,2022-07-29
19,test,2022-08-31
19,test,2022-09-30
20,train,2016-01-29
20,train,2016-02-29
20,train,2016-03-31
20,train,2016-04-29
20,train,2016-05-31
20,train,2016-06-30
20,train,2016-07-29
20,train,2016-08-31
20,train,2016-09-30
20,train,2016-10-31
20,train,2016-11-30
20,train,2016-12-30
20,train,2017-01-31
20,train,2017-02-28
20,train,2017-03-31
20,train,2017-04-28
20,train,2017-05-31
20,train,2017-06-30
20,train,2017-07-31
20,train,2017-08-31
20,train,2017-09-29
20,train,2017-10-31
20,train,2017-11-30
20,train,2017-12-29
20,train,2018-01-31
20,train,2018-02-28
20,train,2018-03-29
20,train,2018-04-30
20,train,2018-05-31
20,train,2018-06-29
20,train,2018-07-31
20,train,2018-08-31
20,train,2018-09-28
20,train,2018-10-31
20,train,2018-11-30
20,train,2018-12-31
20,train,2019-01-31
20,train,2019-02-28
20,train,2019-03-29
20,train,2019-04-30
20,train,2019-05-31
20,train,2019-06-28
20,train,2019-07-31
20,train,2019-08-30
20,train,2019-09-30
20,train,2019-10-31
20,train,2019-11-29
20,train,2019-12-31
20,train,2020-01-31
20,train,2020-02-28
20,train,2020-03-31
20,train,2020-04-30
20,train,2020-05-29
20,train,2020-06-30
20,train,2020-07-31
20,train,2020-08-31
20,train,2020-09-30
20,train,2020-10-30
20,train,2020-11-30
20,train,2020-12-31
20,train,2021-01-29
20,train,2021-02-26
20,train,2021-03-31
20,train,2021-04-30
20,train,2021-05-28
20,train,2021-06-30
20,train,2021-07-30
20,train,2021-08-31
20,train,2021-09-30
20,train,2021-10-29
20,train,2021-11-30
20,train,2021-12-31
20,train,2022-01-31
20,train,2022-02-28
20,train,2022-03-31
20,train,2022-04-29
20,train,2022-05-31
20,train,2022-06-30
20,train,2022-07-29
20,train,2022-08-31
20,train,2022-09-30
20,test,2022-10-31
20,test,2022-11-30
20,test,2022-12-30
21,train,2016-01-29
21,train,2016-02-29
21,train,2016-03-31
21,train,2016-04-29
21,train,2016-05-31
21,train,2016-06-30
21,train,2016-07-29
21,train,2016-08-31
21,train,2016-09-30
21,train,2016-10-31
21,train,2016-11-30
21,train,2016-12-30
21,train,2017-01-31
21,train,2017-02-28
21,train,2017-03-31
21,train,2017-04-28
21,train,2017-05-31
21,train,2017-06-30
21,train,2017-07-31
21,train,2017-08-31
21,train,2017-09-29
21,train,2017-10-31
21,train,2017-11-30
21,train,2017-12-29
21,train,2018-01-31
21,train,2018-02-28
21,train,2018-03-29
21,train,2018-04-30
21,train,2018-05-31
21,train,2018-06-29
21,train,2018-07-31
21,train,2018-08-31
21,train,2018-09-28
21,train,2018-10-31
21,train,2018-11-30
21,train,2018-12-31
21,train,2019-01-31
21,train,2019-02-28
21,train,2019-03-29
21,train,2019-04-30
21,train,2019-05-31
21,train,2019-06-28
21,train,2019-07-31
21,train,2019-08-30
21,train,2019-09-30
21,train,2019-10-31
21,train,2019-11-29
21,train,2019-12-31
21,train,2020-01-31
21,train,2020-02-28
21,train,2020-03-31
21,train,2020-04-30
21,train,2020-05-29
21,train,2020-06-30
21,train,2020-07-31
21,train,2020-08-31
21,train,2020-09-30
21,train,2020-10-30
21,train,2020-11-30
21,train,2020-12-31
21,train,2021-01-29
21,train,2021-02-26
21,train,2021-03-31
21,train,2021-04-30
21,train,2021-05-28
21,train,2021-06-30
21,train,2021-07-30
21,train,2021-08-31
21,train,2021-09-30
21,train,2021-10-29
21,train,2021-11-30
21,train,2021-12-31
21,train,2022-01-31
21,train,2022-02-28
21,train,2022-03-31
21,train,2022-04-29
21,train,2022-05-31
21,train,2022-06-30
21,train,2022-07-29
21,train,2022-08-31
21,train,2022-09-30
21,train,2022-10-31
21,train,2022-11-30
21,train,2022-12-30
21,test,2023-01-31
21,test,2023-02-28
21,test,2023-03-31
22,train,2016-01-29
22,train,2016-02-29
22,train,2016-03-31
22,train,2016-04-29
22,train,2016-05-31
22,train,2016-06-30
22,train,2016-07-29
22,train,2016-08-31
22,train,2016-09-30
22,train,2016-10-31
22,train,2016-11-30
22,train,2016-12-30
22,train,2017-01-31
22,train,2017-02-28
22,train,2017-03-31
22,train,2017-04-28
22,train,2017-05-31
22,train,2017-06-30
22,train,2017-07-31
22,train,2017-08-31
22,train,2017-09-29
22,train,2017-10-31
22,train,2017-11-30
22,train,2017-12-29
22,train,2018-01-31
22,train,2018-02-28
22,train,2018-03-29
22,train,2018-04-30
22,train,2018-05-31
22,train,2018-06-29
22,train,2018-07-31
22,train,2018-08-31
22,train,2018-09-28
22,train,2018-10-31
22,train,2018-11-30
22,train,2018-12-31
22,train,2019-01-31
22,train,2019-02-28
22,train,2019-03-29
22,train,2019-04-30
22,train,2019-05-31
22,train,2019-06-28
22,train,2019-07-31
22,train,2019-08-30
22,train,2019-09-30
22,train,2019-10-31
22,train,2019-11-29
22,train,2019-12-31
22,train,2020-01-31
22,train,2020-02-28
22,train,2020-03-31
22,train,2020-04-30
22,train,2020-05-29
22,train,2020-06-30
22,train,2020-07-31
22,train,2020-08-31
22,train,2020-09-30
22,train,2020-10-30
22,train,2020-11-30
22,train,2020-12-31
22,train,2021-01-29
22,train,2021-02-26
22,train,2021-03-31
22,train,2021-04-30
22,train,2021-05-28
22,train,2021-06-30
22,train,2021-07-30
22,train,2021-08-31
22,train,2021-09-30
22,train,2021-10-29
22,train,2021-11-30
22,train,2021-12-31
22,train,2022-01-31
22,train,2022-02-28
