date,portfolio_return,gross_return,benchmark_return,active_return,portfolio_value,turnover,transaction_cost,cash,delisting_liquidations,missing_return_fills,drawdown,benchmark_value
2025-04-29,0.004487330667287237,0.004487330667287237,0.005802410694099036,-0.001315080026811799,954402.6825644628,0.0,0.0,0.6715574264526367,0,0,-0.05289862321732375,945457.3288222452
2025-04-30,0.0031731681791062893,0.0031731681791062893,0.00147999135976562,0.0016931768193406693,957431.1627868301,0.0,0.0,0.6715574264526367,0,0,-0.04989331126612928,946856.5974999293
2025-05-01,-0.005049818252354954,-0.005012779781080279,0.006299102138585644,-0.011348920390940598,952596.3094256157,0.0525932203550509,35.461786620426494,0.7381955710006878,0,0,-0.054691177364582066,952820.943918175
2025-05-02,0.009017015023268682,0.009017015023268682,0.01472657412963474,-0.005709559106366058,961185.8846588169,0.0,0.0,0.7381955710006878,0,0,-0.046167313509250074,966852.7321810545
2025-05-05,0.0018817212482511447,0.0018817212482511447,-0.006381597588933863,0.008263318837185007,962994.5685614984,0.0,0.0,0.7381955710006878,0,0,-0.044372466275804046,960682.6671165137
2025-05-06,-0.004060513272616695,-0.004060513272616695,-0.007693239651855532,0.0036327263792388376,959084.3163343967,0.0,0.0,0.7381955710006878,0,0,-0.048252804560169116,953291.9051290026
2025-05-07,0.01111702510005741,0.01111702510005741,0.00434635623313584,0.00677066886692157,969746.4807521575,0.0,0.0,0.7381955710006878,0,0,-0.03767220709955521,957435.251342858
2025-05-08,-0.007837984363808448,-0.007837984363808448,0.005799775094835535,-0.013637759458643983,962145.6229991638,0.0,0.0,0.7381955710006878,0,0,-0.04521491729316718,962988.1604685138
2025-05-09,-0.0034404318222864827,-0.0034404318222864827,-0.0007114809122162891,-0.0027289509100701936,958835.4265801238,0.0,0.0,0.7381955710006878,0,0,-0.04849979027515616,962303.0127736502
2025-05-12,0.014244257990885911,0.014244257990885911,0.032558782749008364,-0.018314524758122452,972493.3257671322,0.0,0.0,0.7381955710006878,0,0,-0.03494637580945348,993634.4275052637
2025-05-13,0.0036879452731040097,0.0036879452731040097,0.0072482009835321826,-0.003560255710428173,976079.8279310204,0.0,0.0,0.7381955710006878,0,0,-0.03138731085782798,1000836.4895399788
2025-05-14,-0.00606925439763506,-0.00606925439763506,0.001024415597859818,-0.007093669995494878,970155.7511429072,0.0,0.0,0.7381955710006878,0,0,-0.03726606768100926,1001861.7620507708
2025-05-15,0.010884322366900179,0.010884322366900179,0.004132332074135769,0.006751990292764409,980715.2390844488,0.0,0.0,0.7381955710006878,0,0,-0.026787361208095883,1006001.7875439433
2025-05-16,0.0105833750382196,0.0105833750382196,0.007005272294898557,0.0035781027433210433,991094.5162653767,0.0,0.0,0.7381955710006878,0,0,-0.01648748685982593,1013049.1039948433
2025-05-19,0.003496489758181509,0.003496489758181509,0.0008761131291423752,0.002620376629039134,994559.8680908884,0.0,0.0,0.7381955710006878,0,0,-0.013048645430587813,1013936.6496153191
2025-05-20,-0.0015500965391784804,-0.0015500965391784804,-0.0038802294486252054,0.002330132909446725,993018.2042813549,0.0,0.0,0.7381955710006878,0,0,-0.01457851530964338,1010002.3427684413
2025-05-21,-0.013642168814338218,-0.013642168814338218,-0.01613513066101424,0.002492961846676023,979471.2823028377,0.0,0.0,0.7381955710006878,0,0,-0.02802180155706513,993705.8229999419
2025-05-22,-0.001549587520520146,-0.001549587520520146,-0.00044487103794299543,-0.0011047164825771505,977953.5058270734,0.0,0.0,0.7381955710006878,0,0,-0.029527966843589937,993263.752059054
2025-05-23,-0.0007126703524321654,-0.0007126703524321654,-0.006708297825321674,0.005995627472889509,977256.5473574133,0.0,0.0,0.7381955710006878,0,0,-0.030219593489484997,986600.6429911454
2025-05-27,0.011830340972189601,0.011830340972189601,0.0204590558452733,-0.008628714873083698,988817.8255299563,0.0,0.0,0.7381955710006878,0,0,-0.01874676061231695,1006785.5606430838
2025-05-28,-0.007280626414423286,-0.007280626414423286,-0.005571225417268844,-0.0017094009971544422,981618.6123503502,0.0,0.0,0.7381955710006878,0,0,-0.025890898866241407,1001176.5313378897
2025-05-29,-0.0010505376608900274,-0.0010505376608900274,0.004011194261904327,-0.005061731922794355,980587.3850294456,0.0,0.0,0.7381955710006878,0,0,-0.02691423716279817,1005192.4448955456
2025-05-30,0.0035191936904379606,0.0035191936904379606,-8.118516130162234e-05,0.003600378851739583,984038.2619677644,0.0,0.0,0.7381955710006878,0,0,-0.023489759885966466,1005110.8381847675
2025-06-02,0.0004955120792882184,0.0006014949816033344,0.0041020419271569075,-0.003606529847868689,984525.8648130511,0.10702136080552287,104.29123099261848,0.7335561231011525,0,0,-0.02300588726644126,1009233.8449844413
2025-06-03,-0.0009703370089959584,-0.0009703370089959584,0.005800290454605506,-0.006770627463601464,983570.5429301092,0.0,0.0,0.7335561231011525,0,0,-0.023953900811597872,1015087.6944219694
2025-06-04,-0.0006948068555767684,-0.0006948068555767684,7.36874595066439e-05,-0.0007684943150834123,982887.151373938,0.0,0.0,0.7335561231011525,0,0,-0.024632064332672954,1015162.4936553478
2025-06-05,-0.0018019811654851337,-0.0018019811654851337,-0.005277383403094138,0.0034754022376090044,981116.0072393648,0.0,0.0,0.7335561231011525,0,0,-0.02638965898216361,1009805.0919598875
2025-06-06,0.007772615335747135,0.007772615335747135,0.010280683010067904,-0.0025080676743207686,988741.8445633805,0.0,0.0,0.7335561231011525,0,0,-0.018822160314526326,1020186.5780122796
2025-06-09,-0.0035766657729924267,-0.0035766657729924267,0.0009199480792858594,-0.004496613852278286,985205.4454496052,0.0,0.0,0.7335561231011525,0,0,-0.02233150551094809,1021125.0966952352
2025-06-10,0.00020794170561866387,0.00020794170561866387,0.00548298940767844,-0.005275047702059776,985410.3107503168,0.0,0.0,0.7335561231011525,0,0,-0.02212820745667432,1026723.91478433
2025-06-11,-0.0037244974347625526,-0.0037244974347625526,-0.002743888954607865,-0.0009806084801546877,981740.1525757387,0.0,0.0,0.7335561231011525,0,0,-0.025770288439528666,1023906.6983751215
2025-06-12,0.0016296664436648012,0.0016296664436648012,0.0038224199557175265,-0.0021927535120527253,983340.0615587898,0.0,0.0,0.7335561231011525,0,0,-0.02418261897017726,1027820.4997717835
2025-06-13,-0.014274074126681469,-0.014274074126681469,-0.011296379879250695,-0.0029776942474307733,969303.7926283642,0.0,0.0,0.7335561231011525,0,0,-0.03811150860110113,1016209.8489586802
2025-06-16,0.007519326176858909,0.007519326176858909,0.009392659896159117,-0.0018733337193002075,976592.3040096032,0.0,0.0,0.7335561231011525,0,0,-0.030878755288506032,1025754.7624530763
2025-06-17,-0.006910655603033389,-0.006910655603033389,-0.008352184790166306,0.0014415291871329172,969843.4109320199,0.0,0.0,0.7335561231011525,0,0,-0.03757601844829017,1017187.4691276749
2025-06-18,-0.0015020266038023866,-0.0015020266038023866,-0.0003092402101070313,-0.0011927863936953553,968386.6803272776,0.0,0.0,0.7335561231011525,0,0,-0.03902160487271833,1016872.9138610037
2025-06-20,0.006227492313741978,0.006227492313741978,-0.002178658486505891,0.008406150800247869,974417.3009357458,0.0,0.0,0.7335561231011525,0,0,-0.03303711930339104,1014657.4950575224
2025-06-23,0.012310109137294356,0.012310109137294356,0.009606504133156335,0.002703605004138021,986412.4842555326,0.0,0.0,0.7335561231011525,0,0,-0.021133700710303294,1024404.8064775306
2025-06-24,0.0053259625766552965,0.0053259625766552965,0.01112172017970181,-0.005795757603046514,991666.0802318231,0.0,0.0,0.7335561231011525,0,0,-0.01592029543273732,1035797.9500859154
2025-06-25,-0.00890857552451707,-0.00890857552451707,-3.2861029504172024e-06,-0.008905289421566653,982831.7480609762,0.0,0.0,0.7335561231011525,0,0,-0.024687043803019226,1035794.5463472155
2025-06-26,0.004298724213031679,0.004298724213031679,0.008020121275230219,-0.0037213970621985393,987056.6706937021,0.0,0.0,0.7335561231011525,0,0,-0.020494442382931632,1044101.7442251423
2025-06-27,0.00903153940979351,0.00903153940979351,0.005218970885222163,0.003812568524571347,995971.3119147718,0.0,0.0,0.7335561231011525,0,0,-0.011647999337201287,1049550.880829463
2025-06-30,0.01264101950503771,0.01264101950503771,0.005164427424532603,0.007476592080505107,1008561.4046951445,0.0,0.0,0.7335561231011525,0,0,0.0,1054971.2101818612
2025-07-01,0.004122797723722371,0.004141704700978854,-0.001118531087121899,0.00524132881084427,1012719.4993586559,0.025923454522105323,19.06884754036033,0.7199813381303102,0,0,0.0,1053791.192087254
