date,portfolio_return,gross_return,benchmark_return,active_return,portfolio_value,turnover,transaction_cost,cash,delisting_liquidations,missing_return_fills,drawdown,benchmark_value
2024-07-23,-0.004805230064931054,-0.004805230064931054,-0.001558102589770738,-0.0032471274751603163,1102739.2956218682,0.0,0.0,0.0,0,0,-0.016178751463150398,1164766.9085434012
2024-07-24,-0.015130662315588461,-0.015130662315588461,-0.02314909375473495,0.00801843143914649,1086054.1197176839,0.0,0.0,0.0,0,0,-0.03106461855366216,1137803.6101751172
2024-07-25,-0.006239316694013786,-0.006239316694013786,-0.005142620237842288,-0.0010966964561714976,1079277.884117927,0.0,0.0,0.0,0,0,-0.03711011325454083,1131952.3183027406
2024-07-26,0.016872049968523095,0.016872049968523095,0.011090468702846357,0.0057815812656767385,1097487.5145086865,0.0,0.0,0.0,0,0,-0.020864186971185972,1144506.2000619916
2024-07-29,0.0009254309727588783,0.0009254309727588783,0.0008133101292933098,0.0001121208434655685,1098503.163446829,0.0,0.0,0.0,0,0,-0.019958064363271633,1145437.038547541
2024-07-30,-0.0006884938408345809,-0.0006884938408345809,-0.004960171878030217,0.0042716780371956364,1097746.8507846585,0.0,0.0,0.0,0,0,-0.02063281719971699,1139755.4739608832
2024-07-31,0.009190844720585956,0.009190844720585956,0.0157933986591674,-0.006602553938581446,1107836.0716327324,0.0,0.0,0.0,0,0,-0.01163160549816189,1157756.0865351157
2024-08-01,-0.011462267207524857,-0.011077681360218805,-0.013693502993456064,0.002231235785931207,1095137.7585575434,0.5285678470824862,426.0580742850294,0.0,0,0,-0.02296054813541426,1141902.350098455
2024-08-02,-0.019127358607078926,-0.019127358607078926,-0.018381860868696753,-0.0007454977383821726,1074190.6659254606,0.0,0.0,0.0,0,0,-0.04164873210449194,1120912.0599733074
2024-08-05,-0.02451605104876109,-0.02451605104876109,-0.02996879838863975,0.005452747339878661,1047855.7527235294,0.0,0.0,0.0,0,0,-0.06514372071086316,1087319.6724365724
2024-08-06,0.011779307179382359,0.011779307179382359,0.010354085880061037,0.001425221299321322,1060198.7675145427,0.0,0.0,0.0,0,0,-0.054131761428542036,1098577.8737040604
2024-08-07,-0.00951299775448744,-0.00951299775448744,-0.007734647858502863,-0.0017783498959845767,1050113.0990198664,0.0,0.0,0.0,0,0,-0.06312980385811329,1090080.7607058166
2024-08-08,0.024173451370120613,0.024173451370120613,0.023042611519136447,0.0011308398509841666,1075497.9569521497,0.0,0.0,0.0,0,0,-0.040482417731561915,1115199.0681992455
2024-08-09,0.004594561886794635,0.004594561886794635,0.004671676849538509,-7.711496274387386e-05,1080439.3988744875,0.0,0.0,0.0,0,0,-0.036073854818361895,1120408.9178687788
2024-08-12,-0.003155225591830124,-0.003155225591830124,4.303397765514916e-05,-0.0031982595694852733,1077030.3688327372,0.0,0.0,0.0,0,0,-0.03911525926027326,1120457.1335211152
2024-08-13,0.012337781556263083,0.012337781556263083,0.016847579753558328,-0.004509798197295245,1090318.534252857,0.0,0.0,0.0,0,0,-0.027260073228280057,1139334.1244385554
2024-08-14,0.004773834819706169,0.004773834819706169,0.0038237284285767004,0.0009501063911294683,1095523.5348362443,0.0,0.0,0.0,0,0,-0.02261637349533885,1143690.6287198188
