candidate_id,family,factors,model_name,model_type,target,top_n,rolling,train_periods,blend_rule_weight,folds,periods,mean_rank_ic,positive_rank_ic_share,min_rank_ic,max_rank_ic,gross_total_return,net_total_return,net_sharpe,average_turnover,positive_period_share,min_net_return,max_net_return,shadow_deflated_probability_trial1,shadow_one_sided_lower_95,passes_shadow_return_gate,passes_shadow_sharpe_lower_gate,passes_shadow_dsp_gate_trial1,max_train_label_end_before_test_start
value_low_risk__lgbm_shallow__cross_sectional_rank__top30__roll36__blend0.0,value_low_risk,"book_to_market,earnings_yield,free_cash_flow_yield,sales_yield,beta_to_spy,max_drawdown_252d,realized_vol_252d,realized_vol_60d",lgbm_shallow,lightgbm,cross_sectional_rank,30,True,36,0.0,30,88,0.0061429140626483,0.5,-0.223056428377304,0.1995962356082751,2.339844999700356,2.211246712793337,0.8437961106062355,0.4526515151515152,0.625,-0.1536705967322327,0.1832300473574145,0.9889194811513404,0.2329128095892276,True,True,True,True
value_low_risk_momentum3__lgbm_ranker_gain100__cross_sectional_rank__top35__roll60__blend0.0,value_low_risk_momentum3,,lgbm_ranker_gain100,lgbm_ranker,cross_sectional_rank,35,True,60,0.0,22,64,0.010523024133609414,0.6363636363636364,-0.14061873208679673,0.13165671418841834,1.4334232813649925,1.3587729858472652,0.8426733550900296,0.4926339285714285,0.625,-0.13024934804084787,0.17837556449259592,0.972108035022921,0.12480037864928896,True,True,True,True
value_low_risk_sales__lgbm_tiny__cross_sectional_rank__top30__roll36__blend0.0,value_low_risk_sales,,lgbm_tiny,lightgbm,cross_sectional_rank,30,True,36,0.0,30,88,0.0113083644623546,0.5666666666666667,-0.1956283647489741,0.1839744285383808,2.243591556060134,2.128704462061098,0.8390418554434435,0.4159090909090909,0.6136363636363636,-0.165313344718088,0.1747002813641481,0.98763717406139,0.2281585544264356,True,True,True,True
value_low_risk__lgbm_ranker_gain100__cross_sectional_rank__top25__roll36__blend0.0,value_low_risk,,lgbm_ranker_gain100,lgbm_ranker,cross_sectional_rank,25,True,36,0.0,30,88,0.009643896854887415,0.5666666666666667,-0.16504524136119597,0.22975534592362612,2.3914242659504548,2.250487849388635,0.8221848765584535,0.48840909090909096,0.6136363636363636,-0.17199757754648892,0.18971771588539552,0.9847025239221575,0.2113015755414458,True,True,True,True
value_low_risk__lgbm_shallow__cross_sectional_rank__top30__roll36__blend0.5,value_low_risk,,lgbm_shallow,lightgbm,cross_sectional_rank,30,True,36,0.5,30,88,0.0061429140626483,0.5,-0.223056428377304,0.1995962356082751,1.8194741240370047,1.7216012994621217,0.8156994598293699,0.4056818181818182,0.625,-0.2178126185274007,0.155446399167991,0.9756049010400288,0.204816158812362,True,True,True,True
value_low_risk_sales__lgbm_ranker_gain100__cross_sectional_rank__top35__roll60__blend0.0,value_low_risk_sales,,lgbm_ranker_gain100,lgbm_ranker,cross_sectional_rank,35,True,60,0.0,22,64,0.035186090299859286,0.6818181818181818,-0.14593522948514492,0.1951612730330956,1.2901617705950068,1.2242366818387893,0.8087979952651004,0.4609375,0.578125,-0.12893154331041123,0.16186187304806945,0.9655138018661337,0.09092501882435984,True,True,True,True
value_low_risk__lgbm_shallow__cross_sectional_rank__top50__roll36__blend0.0,value_low_risk,"book_to_market,earnings_yield,free_cash_flow_yield,sales_yield,beta_to_spy,max_drawdown_252d,realized_vol_252d,realized_vol_60d",lgbm_shallow,lightgbm,cross_sectional_rank,50,True,36,0.0,30,88,0.0061429140626483,0.5,-0.223056428377304,0.1995962356082751,1.9723866605513285,1.868136148066968,0.8006485691788201,0.4106818181818182,0.6022727272727273,-0.1415675541408166,0.1517151740710853,0.9835983320798326,0.1897652681618124,True,True,True,True
value_low_risk_momentum3__lgbm_ranker_gain100__cross_sectional_rank__top25__roll60__blend0.0,value_low_risk_momentum3,,lgbm_ranker_gain100,lgbm_ranker,cross_sectional_rank,25,True,60,0.0,22,64,0.010523024133609414,0.6363636363636364,-0.14061873208679673,0.13165671418841834,1.3523718208809523,1.2762669060913199,0.7830283677881797,0.5203125000000001,0.625,-0.14619769829226623,0.210676709298197,0.9612087987893875,0.0651553913474392,True,True,True,True
value_low_risk_momentum3__lgbm_ranker_gain100__cross_sectional_rank__top30__roll60__blend0.0,value_low_risk_momentum3,,lgbm_ranker_gain100,lgbm_ranker,cross_sectional_rank,30,True,60,0.0,22,64,0.010523024133609414,0.6363636363636364,-0.14061873208679673,0.13165671418841834,1.3087099576850703,1.2354294781611266,0.7820471454792024,0.5098958333333334,0.625,-0.13964895182055262,0.20057669102540357,0.9621020288626194,0.0641741690384618,True,True,True,True
value_low_risk_momentum3__lgbm_shallow__cross_sectional_rank__top30__expand24__blend0.0,value_low_risk_momentum3,"book_to_market,earnings_yield,free_cash_flow_yield,sales_yield,beta_to_spy,max_drawdown_252d,realized_vol_252d,realized_vol_60d,momentum_3m",lgbm_shallow,lightgbm,cross_sectional_rank,30,False,24,0.0,34,100,0.0168365541116932,0.6470588235294118,-0.0638556985403814,0.1170818052881827,2.957277889706024,2.7867285593973845,0.7811831674733852,0.4459999999999999,0.65,-0.2772523954716075,0.2108766197877463,0.9812164960610038,0.2085186399335048,True,True,True,True
