date,bucket,contribution,average_weight,average_exposure,names,return_coverage
2024-09-24,high,-0.00119260774530618,0.3380261878504367,1.1504987440818113,17,1.0
2024-09-24,low,0.002643176794463685,0.4657638085624075,-0.6278786128859218,17,1.0
2024-09-24,middle,0.0003549684991301445,0.19621000358715426,0.3726369952133863,16,1.0
2024-09-25,high,-0.001319718025524895,0.3371892303870837,1.1504987440818113,17,1.0
2024-09-25,low,0.00016843939958502082,0.4665981409924064,-0.6278786128859218,17,1.0
2024-09-25,middle,-0.0002805487155903488,0.1962126286205085,0.3726369952133863,16,1.0
2024-09-26,high,6.262623036381391e-05,0.3342855885786391,1.1504987440818113,17,1.0
2024-09-26,low,0.007909648990120503,0.47020044064005806,-0.6278786128859218,17,1.0
2024-09-26,middle,0.001055334346008084,0.19551397078130123,0.3726369952133863,16,1.0
2024-09-27,high,-0.0007063473197182986,0.3338133903186214,1.1504987440818113,17,1.0
2024-09-27,low,0.0005534752880514743,0.47105058070884276,-0.6278786128859218,17,1.0
2024-09-27,middle,-0.0004869203957325386,0.19513602897253443,0.3726369952133863,16,1.0
2024-09-30,high,0.0012586552599552815,0.33418371951781617,1.1234628859068074,17,1.0
2024-09-30,low,-0.0005147297940598927,0.41114602186958704,-0.6067705807693674,17,1.0
2024-09-30,middle,0.0019520946191111303,0.2546702586125949,0.34894936948744737,16,1.0
2024-10-01,high,0.0007397480104656759,0.3522270224662027,1.1234628859068074,17,1.0
2024-10-01,low,-0.0019882867559880154,0.39965393926005377,-0.6067705807693674,17,1.0
2024-10-01,middle,-0.00213624418633912,0.24811903827374143,0.34894936948744737,16,1.0
2024-10-02,high,-0.00038938732310939985,0.35113629702913146,1.1234628859068074,17,1.0
2024-10-02,low,0.0021522606150122013,0.40100834510213834,-0.6067705807693674,17,1.0
2024-10-02,middle,0.0002126916191182482,0.24785535786872803,0.34894936948744737,16,1.0
2024-10-03,high,-0.0005053947038699336,0.3519399886384529,1.1234628859068074,17,1.0
2024-10-03,low,-0.0016488196472077595,0.40080924791837147,-0.6067705807693674,17,1.0
2024-10-03,middle,-0.001508664997564925,0.2472507634431732,0.34894936948744737,16,1.0
2024-10-04,high,0.0024772705008604488,0.35126623594164214,1.1234628859068074,17,1.0
2024-10-04,low,0.005284029128853726,0.40237219384773293,-0.6067705807693674,17,1.0
2024-10-04,middle,0.0013404938190493387,0.24636157021062277,0.34894936948744737,16,1.0
